t, spline
-1.000000, 0.038462
-0.979798, 0.040002
-0.959596, 0.041629
-0.939394, 0.043363
-0.919192, 0.045202
-0.898990, 0.047160
-0.878788, 0.049245
-0.858586, 0.051469
-0.838384, 0.053844
-0.818182, 0.056384
-0.797980, 0.059104
-0.777778, 0.062021
-0.757576, 0.065155
-0.737374, 0.068526
-0.717172, 0.072159
-0.696970, 0.076079
-0.676768, 0.080319
-0.656566, 0.084912
-0.636364, 0.089896
-0.616162, 0.095316
-0.595960, 0.101223
-0.575758, 0.107673
-0.555556, 0.114731
-0.535354, 0.122473
-0.515152, 0.130984
-0.494949, 0.140363
-0.474747, 0.150724
-0.454545, 0.162198
-0.434343, 0.174937
-0.414141, 0.189113
-0.393939, 0.204930
-0.373737, 0.222618
-0.353535, 0.242443
-0.333333, 0.264706
-0.313131, 0.289747
-0.292929, 0.317946
-0.272727, 0.349711
-0.252525, 0.385472
-0.232323, 0.425650
-0.212121, 0.470615
-0.191919, 0.520612
-0.171717, 0.575650
-0.151515, 0.635356
-0.131313, 0.698777
-0.111111, 0.764158
-0.090909, 0.828772
-0.070707, 0.888898
-0.050505, 0.940054
-0.030303, 0.977556
-0.010101, 0.997441
0.010101, 0.997441
0.030303, 0.977556
0.050505, 0.940054
0.070707, 0.888898
0.090909, 0.828772
0.111111, 0.764158
0.131313, 0.698777
0.151515, 0.635356
0.171717, 0.575650
0.191919, 0.520612
0.212121, 0.470615
0.232323, 0.425650
0.252525, 0.385472
0.272727, 0.349711
0.292929, 0.317946
0.313131, 0.289747
0.333333, 0.264706
0.353535, 0.242443
0.373737, 0.222618
0.393939, 0.204930
0.414141, 0.189113
0.434343, 0.174937
0.454545, 0.162198
0.474747, 0.150724
0.494949, 0.140363
0.515152, 0.130984
0.535354, 0.122473
0.555556, 0.114731
0.575758, 0.107673
0.595960, 0.101223
0.616162, 0.095316
0.636364, 0.089896
0.656566, 0.084912
0.676768, 0.080319
0.696970, 0.076079
0.717172, 0.072159
0.737374, 0.068526
0.757576, 0.065155
0.777778, 0.062021
0.797980, 0.059104
0.818182, 0.056384
0.838384, 0.053844
0.858586, 0.051469
0.878788, 0.049245
0.898990, 0.047160
0.919192, 0.045202
0.939394, 0.043363
0.959596, 0.041630
0.979798, 0.040002
1.000000, 0.038462
